Printout for SDDS file injector_cryo.s

       s              Sx             Sy            ecnx           ecny     
       m              m              m              m              m       
---------------------------------------------------------------------------
  0.000000e+00   2.677549e-04   2.517244e-04   5.246834e-07   4.903448e-07 
  0.000000e+00   2.677549e-04   2.517244e-04   5.246834e-07   4.903448e-07 
  0.000000e+00   2.677549e-04   2.517244e-04   5.246834e-07   4.903448e-07 
  1.259170e-01   2.678444e-04   2.518949e-04   5.246834e-07   4.903448e-07 
  1.259170e-01   2.678444e-04   2.518949e-04   5.246834e-07   4.903448e-07 
  2.045130e-01   2.679154e-04   2.520172e-04   5.246834e-07   4.903448e-07 
  2.045130e-01   2.679154e-04   2.520172e-04   5.246834e-07   4.903448e-07 
  3.310510e-01   2.680541e-04   2.522398e-04   5.246834e-07   4.903448e-07 
  3.310510e-01   2.680541e-04   2.522398e-04   5.246834e-07   4.903448e-07 
  4.096200e-01   2.681554e-04   2.523940e-04   5.246834e-07   4.903448e-07 
  4.096200e-01   2.681554e-04   2.523940e-04   5.246834e-07   4.903448e-07 
  5.983470e-01   2.684460e-04   2.528140e-04   5.246834e-07   4.903448e-07 
  7.653470e-01   2.687588e-04   2.532439e-04   5.246834e-07   4.903448e-07 
  7.997630e-01   2.688297e-04   2.533393e-04   5.246834e-07   4.903448e-07 
  9.667630e-01   2.692051e-04   2.538347e-04   5.246834e-07   4.903448e-07 
  1.142592e+00   2.696563e-04   2.544148e-04   5.246834e-07   4.903448e-07 
  1.142592e+00   2.696563e-04   2.544148e-04   5.246834e-07   4.903448e-07 
  1.221955e+00   2.698787e-04   2.546962e-04   5.246834e-07   4.903448e-07 
  1.221955e+00   2.698787e-04   2.546962e-04   5.246834e-07   4.903448e-07 
  1.318685e+00   2.701654e-04   2.550554e-04   5.246834e-07   4.903448e-07 
  1.318685e+00   2.701654e-04   2.550554e-04   5.246834e-07   4.903448e-07 
  1.407670e+00   2.704443e-04   2.554017e-04   5.246834e-07   4.903448e-07 
  1.574670e+00   2.668544e-04   2.600345e-04   5.246834e-07   4.903448e-07 
  1.676668e+00   2.621627e-04   2.653116e-04   5.246834e-07   4.903448e-07 
  1.676668e+00   2.621627e-04   2.653116e-04   5.246834e-07   4.903448e-07 
  1.789663e+00   2.569897e-04   2.711782e-04   5.246834e-07   4.903448e-07 
  1.956663e+00   2.488922e-04   2.804270e-04   5.246834e-07   4.903448e-07 
  2.058648e+00   2.436754e-04   2.864296e-04   5.246834e-07   4.903448e-07 
  2.058648e+00   2.436754e-04   2.864296e-04   5.246834e-07   4.903448e-07 
  2.171633e+00   2.379263e-04   2.930959e-04   5.246834e-07   4.903448e-07 
  2.338633e+00   2.268587e-04   3.063113e-04   5.246834e-07   4.903448e-07 
  2.375378e+00   2.238642e-04   3.099676e-04   5.246834e-07   4.903448e-07 
  2.542378e+00   2.103122e-04   3.266023e-04   5.246834e-07   4.903448e-07 
  2.586578e+00   2.067428e-04   3.310094e-04   5.246834e-07   4.903448e-07 
  2.586578e+00   2.067428e-04   3.310094e-04   5.246834e-07   4.903448e-07 
  2.646431e+00   2.019221e-04   3.369800e-04   5.246834e-07   4.903448e-07 
  2.646431e+00   2.019221e-04   3.369800e-04   5.246834e-07   4.903448e-07 
  2.759963e+00   1.928223e-04   3.483133e-04   5.246834e-07   4.903448e-07 
  2.759963e+00   1.928223e-04   3.483133e-04   5.246834e-07   4.903448e-07 
  2.920476e+00   1.800704e-04   3.643528e-04   5.246834e-07   4.903448e-07 
  3.087476e+00   1.566084e-04   4.033293e-04   5.246834e-07   4.903448e-07 
  3.121133e+00   1.499122e-04   4.158307e-04   5.246834e-07   4.903448e-07 
  3.288133e+00   1.285591e-04   4.422190e-04   5.246834e-07   4.903448e-07 
  3.367908e+00   1.238062e-04   4.374505e-04   5.246834e-07   4.903448e-07 
  3.367908e+00   1.238062e-04   4.374505e-04   5.246834e-07   4.903448e-07 
  3.456691e+00   1.186600e-04   4.321463e-04   5.246834e-07   4.903448e-07 
  3.456691e+00   1.186600e-04   4.321463e-04   5.246834e-07   4.903448e-07 
  3.534427e+00   1.142939e-04   4.275047e-04   5.246834e-07   4.903448e-07 
  3.534427e+00   1.142939e-04   4.275047e-04   5.246834e-07   4.903448e-07 
  3.534427e+00   1.142939e-04   4.275047e-04   5.246834e-07   4.903448e-07 
  5.109388e+00   8.727374e-05   3.341323e-04   5.246834e-07   4.903448e-07 
  5.109388e+00   8.727374e-05   3.341323e-04   5.246834e-07   4.903448e-07 
  5.109388e+00   8.727374e-05   3.341323e-04   5.246834e-07   4.903448e-07 
  5.109388e+00   8.727374e-05   3.341323e-04   5.246834e-07   4.903448e-07 
  5.188533e+00   9.003067e-05   3.294842e-04   5.246834e-07   4.903448e-07 
  5.188533e+00   9.003067e-05   3.294842e-04   5.246834e-07   4.903448e-07 
  5.188533e+00   9.003067e-05   3.294842e-04   5.246834e-07   4.903448e-07 
  7.556992e+00   2.376940e-04   1.947226e-04   5.246834e-07   4.903448e-07 
  7.556992e+00   2.376940e-04   1.947226e-04   5.246834e-07   4.903448e-07 
